modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,PASS,PASS,PASS,PASS,B 2692,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,New South Wales,N/A,PASS,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,6.4.1903,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-20,PASS,PASS,PASS,B 2697,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,bei Brisbane
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"Mar. 27, 1971",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,Fagus crenata,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,"March 28, 1967",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,ad arborum truncos,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,PASS,1000415,s.n.,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,N/A,Thériot,Macromitrium gymnostomum,Yaku-Sima,1898-11-00,1898-10-00,N/A,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
