verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
PASS,PASS,N/A,PASS,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,PASS,PASS,Urwald,N/A,N/A,PASS,PASS,no type status
PASS,M. Fleischer,N/A,B 2692,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,no type status
PASS,PASS,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,New South Wales,N/A,PASS,PASS,PASS,N/A,N/A,N/A,1076824,PASS,no type status
PASS,PASS,PASS,B 2697,PASS,1903-03-20,N/A,Macromitrium,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,bei Brisbane,PASS,N/A,N/A,N/A,PASS,PASS,no type status
Coll. & det. T. Nakajima,PASS,N/A,1229,"Mar. 27, 1971",1971-03-27,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,N/A,Japan,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,PASS,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,Fagus crenata,Japan,PASS,N/A,N/A,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,N/A,Japan,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,N/A,s.n.,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,PASS,PASS,PASS,PASS,PASS,ad arborum truncos,ca 500 m,N/A,PASS,PASS,no type status
PASS,PASS,PASS,s.n.,20.4.1898,1898-04-20,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,PASS,PASS,N/A,PASS,PASS,N/A,N/A,N/A,1000415,PASS,no type status
PASS,PASS,PASS,s.n.,PASS,1898-10-00,1898-11-00,PASS,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,PASS,N/A,N/A,PASS,Yaku-Sima,N/A,N/A,N/A,PASS,PASS,no type status
