modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,Typed,PASS,B 2692,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Fleischer,Australia,New South Wales,N/A,PASS,Macromitrium,PASS,N/A,1903-04-06,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,6.4.1903,Macromitrium,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-20,PASS,PASS,PASS,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,bei Brisbane
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,T. Nakajima,Japan,Wakayama,On vertical face of rock,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,1043494,PASS,N/A,N/A,no type status,PASS,N/A,N/A,330 m alt.,"Mar. 27, 1971",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,Fagus crenata,T. Nakajima,Japan,PASS,On trunks of Fagus crenata,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,Typed,1043492,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,T. Nakajima,Japan,Wakayama,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,ca. 100 m alt.,"March 28, 1967",Macromitrium gymnostomum Sull. & Lesq.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. Hattori,Japan,Miyazaki,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,N/A,N/A,Thériot,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,Typed,1000415,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,Iles Liou-Kiou - Centre de l'Ile
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,PASS,N/A,Thériot,Macromitrium gymnostomum,Yaku-Sima,1898-11-00,1898-10-00,N/A,Typed,1000416,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,Yaku-Sima
