associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium ,[precise locality unknown],N/A,1903-03-25,Eumundi ,Mix of Handwritten and Typed,B 27.34 | 1044084,1076713,N/A,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,"(ca. 100 km nördlich Brisbane), Urwald"
N/A,PASS,Australia,Queensland,N/A,N/A,Macromitrium ,"Bumundi, Urwald, about 100 Kilometers north of Brisbane",N/A,1903-03-25,N/A,Mix of Handwritten and Typed,N/A,1076699,N/A,recordNumber: 1076699,no type status ,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,"Australien: Queensland, Bumundi (ca. 100 Km nördlich Brisbane), Urwald."
N/A,PASS,Australia,New South Wales,N/A,N/A,Macromitrium,"Wentworth Falls, Blue Mountains",N/A,1903-04-06,Sydney,Mix of Handwritten and Typed,1076824,B 2552,N/A,N/A,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls"
N/A,PASS,Australia,Queensland,N/A,N/A,Macromitrium ,near Brisbane ,N/A,1903-03-20,Brisbane,Handwritten,1076705|104416,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,20 3 1903,"Macromitrium Australien Queensland, bei Brisbane",bei Brisbane
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum,"On vertical face of rock 330 meters altitude Ohara, Yuya, Oto-mura, Nishi Muro-gun, Wakayama Prefecture",N/A,1971-03-27,Yuya,Handwritten,1043494,s.n.,N/A,N/A,no type status,PASS,N/A,"Mar. 27, 1971",PASS,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,"On vertical face of rock, 330 m alt., Ohara, Yuya, Oto-mura, Nishi Muro-gun, Wakayama Prefecture"
Fagus crenata,PASS,Japan,Nara Prefecture,N/A,PASS,Macromitrium gymnostomum,"On trunks of Fagus crenata, Mount Obako",N/A,1958-05-04,N/A,Mix of Handwritten and Typed,1043492 | C0268654F,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"May 4, 1958",714. Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,PASS,Japan,Wakayama Prefecture,N/A,PASS,Macromitrium gymnostomum ,On rocks near Syogawa ,N/A,1967-03-28,Shirahama-chō,Typed,1043491,s.n.,Nishimuto-gun,N/A,no type status,PASS,N/A,"March 28, 1967",PASS,"March 28, 1967",Macromitrium gymnostomum Sull & Lesq. c. fr.,"On rocks, ca. 100 m alt. Syogawa,  Nishimiro-gun, Wakayama Prefecture"
N/A,PASS,Japan,KIUSHIU,ad arborum truncos,PASS,Macromitrium gymnostomum,[precise locality unknown],N/A,1946-10-00,"Minaminaka, Sakakani",Handwritten,C0268548F,s.n.,Miyazaki,N/A,no type status ,PASS,N/A,N/A,ca 500 m,X. 1946,33 Macromitrium gymnostomum Sull. et Lesq.,"ad arborum truncos, ca 500 m,"
N/A,R. P. Ferrié,Japan,Iles Liou-Kiou,N/A,Theriot,Macromitrium gymnostomum ,Centre of the island,N/A,1898-04-20,N/A,Typed,1000415,s.n.,Centre,recordNumber: s.n.,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum  S. L.,Japon : Iles Liou-Kiou - Centre de l'île -
N/A,R. Ferrié,Japan,N/A,N/A,Théirot,Macromitrium gymnostomum ,[precise locality unknown],1898-11-00,1898-10-00,Yaku-Sima,Handwritten,C0268550F,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,Macromitrium gymnostomum S. L. = M. rupestre Mitt.  Sull. Card.,Japon : Yaku-Sima - 
