associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium,"Eumundi, approximately 100 kilometers north of Brisbane",N/A,1903-05-25,Eumundi,Typed,1076713 | 1046581,B 2574,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,25.V.1903,Macromitrium,"Eumundi (ca. 100 km nördlich Brisbane), Urwald"
N/A,M. Fleischer,Australia,Queensland,virgin forest,N/A,Macrotritium,"approximately 100 kilometers north of Brisbane, virgin forest",N/A,1903-03-25,Eumundi,Typed,1076699,B. 2692,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,25.3.1903,Macrotritium,"ca. 100 km nördlich Brisbane, Urwald."
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,"Blue Mountains near Sydney, Wentworth Falls",N/A,1903-04-06,Wentworth Falls,Typed,1076824,B 2552,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls"
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,near Brisbane,N/A,1903-03-20,N/A,Typed,1076705,b 2697,N/A,N/A,no type status,M. Fleischer nr. b 2697,N/A,N/A,N/A,20.3.1903,Macromitrium,"Australien: Queensland, bei Brisbane"
N/A,N. Nakajima,Japan,Wakayama Prefecture,On vertical face of rock,N. Nakajima,Macrothamnium syntrichodontum,Oto-mura,N/A,1971-03-27,N/A,Typed,N/A,1229,N/A,N/A,no type status,N. Nakajima,N/A,N/A,330 m,"Mar. 27, 1971",Macrothamnium syntrichodontum (Sull. et Lesq.) O. Ktze.,"Oto-mura, Nishimuro-gun"
N/A,T. Nakajima,Japan,Nara,On trunks of Fagus crenata,A. Noguchi,Macrothamnium pumilostomum,"On trunks of Fagus crenata, at approximately 1200 meters altitude, Mount Ohtako",N/A,1956-05-04,Ohtako,Typed,1043492,714,N/A,N/A,no type status,T. Nakajima,N/A,"May 4, 1956",ca. 1200 m.,"May 4, 1956",Macrothamnium pumilostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Ohtako, Nara Prefecture"
N/A,T. Nakajima,Japan,Wakayama,N/A,T. Nakajima,Macrothamnium japonomontanum,"On rocks, approximately 100 meters altitude, Syogawa, Shirahama-cho",N/A,1967-03-28,Shirahama-cho,Typed,1043491,1129,N/A,N/A,no type status,T. Nakajima,N/A,"March 28, 1967",ca. 100 m,"March 28, 1967",Macrothamnium japonomontanum Sull. & Lesq. cf. fr.,"On rocks, ca. 100 m alt., Syogawa, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,Miyazaki,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,Sakatani,N/A,1946-09-00,Minamiata,Typed,1253073,s.n.,N/A,N/A,no type status,S. Hattori,N/A,Ser. I (1947),ca 500 m.,IX. 1946,Macromitrium gymnostomum Sull. et Lesq.,"KIUSHIU, Miyazaki, Minamiata, Sakatani, ad arborum truncos, ca 500 m."
N/A,J. B. Faurie,Japan,N/A,N/A,Thériot,Macrothamnium gymnostomum,Centre of the island,N/A,1898-04-20,N/A,Typed,1000415,s.n.,N/A,N/A,no type status,R.P. J.B. Faurie,N/A,N/A,N/A,20-4-1898,Macrothamnium gymnostomum S. I.,Japon: iles Liu-Kiu - Centre de l'ile
N/A,R. P. J. B. Faurie,Japan,N/A,N/A,Thér.,Macromitrium syntrichum,Yaku-Shima,1898-11-00,1898-10-00,Yaku-Shima,Typed,1000416,s.n.,N/A,N/A,no type status,R.P. J. B. Faurie,N/A,N/A,N/A,oct-nov.1898,Macromitrium syntrichum S. I.,Japon : Yaku-Sima
