associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,Typed,1076699,PASS,N/A,PASS,PASS,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
PASS,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,PASS,Typed,PASS,PASS,PASS,PASS,no type status,leg. M. Fleischer nr. B 2552,N/A,N/A,N/A,6.4.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-20,PASS,Typed,N/A,PASS,PASS,PASS,no type status,leg. M. Fleischer nr. B 2697,N/A,N/A,N/A,20.3.1903,Macromitrium,PASS
PASS,T. Nakajima,Japan,PASS,PASS,T. Nakajima,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,"Mar. 27, 1971",330 m alt.,"Mar. 27, 1971",PASS,PASS
PASS,T. Nakajima,Japan,Nara Prefecture,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,PASS,1958-05-04,PASS,PASS,PASS,PASS,PASS,PASS,no type status,T. Nakajima,PASS,PASS,PASS,"May 4, 1958",Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
PASS,PASS,Japan,PASS,PASS,Thériot,Macromitrium gymnostomum,PASS,PASS,1898-04-20,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,PASS,Japan,N/A,N/A,PASS,PASS,PASS,PASS,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,PASS,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium incurvifolium,PASS,N/A,1975-09-03,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,9-3 - 1975,PASS,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
N/A,N/A,Papua New Guinea,PASS,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,N/A,Typed,PASS,PASS,N/A,N/A,no type status,N/A,PASS,N/A,PASS,PASS,Macromitrium longicaule C. Mull.,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,Alt.: c. 3900 m.,PASS,PASS,PASS
PASS,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,17.4.1975,PASS,PASS
N/A,N/A,PASS,PASS,N/A,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,8.5. 1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-04-19,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,3900 m.,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,Alt.: c. 3450 m.,5. 5. 1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,Alt.: c. 2500 - 2600 m.,14.5.1975,PASS,PASS
PASS,PASS,Papua New Guinea,PASS,PASS,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-21,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,21. 4. 1975,Macromitrium megalocladon Fleisch.,PASS
PASS,PASS,Papua New Guinea,PASS,PASS,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-07,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,7. 4. 1975,Macromitrium megalocladon Fleisch.,PASS
,S. Hattori,Japan,PASS,PASS,A. Noguchi,Macromitrium incurvum,PASS,PASS,1946-08-00,PASS,Typed,PASS,PASS,PASS,,no type status,leg. S. Hattori,,OCT 1948,PASS,VIII. 1946,PASS,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,N/A,Typed,PASS,PASS,N/A,N/A,no type status,Coll. K. Mayebara,N/A,N/A,PASS,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
N/A,K. Mayebara,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1952-02-11,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"February 11, 1952",Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,N/A,A. Noguchi,PASS,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
PASS,H. H. CHUNG,China,PASS,PASS,Theriot,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,B.206,PASS,PASS,no type status,H. H. CHUNG,PASS,N/A,altitude 500 m.,PASS,Macromitrium gymnostomum S. & L. Det. Theriot.,PASS
N/A,H. H. CHUNG,China,PASS,PASS,Theriot,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,H. H. CHUNG,N/A,PASS,N/A,PASS,PASS,PASS
PASS,PASS,Papua New Guinea,Morobe,PASS,Dale H. Vitt,Macromitrium longicaule,PASS,N/A,1981-07-23,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,23 July 1981,Macromitrium longicaule C. Mull.,PASS
,PASS,China,PASS,On shady rocks or bark.,PASS,Macromitrium japonicum,PASS,PASS,PASS,,Typed,PASS,PASS,,,no type status,PASS,,PASS,,PASS,PASS,PASS
PASS,PASS,Papua New Guinea,PASS,PASS,Dale H. Vitt,Macromitrium macrosporum,PASS,N/A,1981-07-09,PASS,Typed,PASS,PASS,PASS,PASS,no type status,Timo Koponen #3571,PASS,1989,3550 m,9 July 1981,PASS,PASS
N/A,M. Mizutani,Japan,N/A,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1975-01-23,N/A,Typed,PASS,PASS,N/A,I. Yoshimura,PASS,M. Mizutani and I. Yoshimura,N/A,N/A,PASS,"Jan. 23, 1975",PASS,PASS
N/A,PASS,Japan,Honshu,PASS,N/A,Macromitrium incurvum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,Musashi,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,K. Saito,Japan,Kagoshima,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1970-04-03,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,elevation about 120 m.,"April 3, 1970",Macromitrium gymnostomum SULL. & LESQ.,PASS
PASS,V. Allorge,Portugal,PASS,N/A,PASS,PASS,PASS,PASS,1937-06-14,N/A,Typed,PASS,PASS,N/A,P. Allorge,no type status,V. et P. Allorge,N/A,PASS,vers 700 m.,PASS,PASS,SALTO do CAVALO vers 700 m.
PASS,Marko Lewis,Bolivia,PASS,PASS,PASS,Philonotis,PASS,N/A,1983-01-20,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,"15°36'S, 68°39'W",PASS,PASS,20 Jan 1983,Philonotis,PASS
N/A,PASS,Bolivia,La Paz,PASS,N/A,PASS,PASS,N/A,1979-03-29,PASS,Typed,PASS,PASS,Larecaja,N/A,no type status,PASS,PASS,N/A,2740 m.,29 March 1979,Philonotis fide Crum,PASS
N/A,Marko Lewis,Bolivia,Cochabamba,"On stones and banks of seepy creek in cloud forest ravine, with tree ferns.",N/A,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,PASS,PASS,PASS,N/A,no type status,"Marko Lewis, no. 79-2315",PASS,N/A,3030 m.,1 June 1979,Philonotis,PASS
