imageName,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,M. Fleischer nr. B 2734,M. Fleischer,nr. B 2734,1076713,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"(ca. 100 km nördlich Brisbane), Uralwald.","(ca. 100 km nördlich Brisbane), Uralwald.",N/A,N/A,N/A,Cob368202,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,M. Fleischer nr. B 2692,M. Fleischer,nr. B 2692,1044123,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eumundi (ca. 100 km nordlich Brisbane), Urald.","ca. 100 km north of Brisbane, Urald",N/A,N/A,N/A,1076699,Typed,N/A
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,leg. M. Fleischer nr. B 2552,M. Fleischer,,1076824,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,,Australia,New South Wales,,,"Blue Mountains bei Sydney, Wentworth Falls.","Blue Mountains, Wentworth Falls, New South Wales, Australia",N/A,N/A,N/A,,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,leg. M. Fleischer nr. B 2697,M. Fleischer,B 2697,1076705,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,bei Brisbane.,near Brisbane.,N/A,N/A,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,"Nishimura-gun, Wakoyama Prefecture Coll. & det. T. Nakajima",T. Nakajima,"Nishimura-gun, Wakoyama Prefecture",1043494,"Mar. 27, 1971",1971-03-27,N/A,"Macromitrium gymnostomum Stull. et Lesq. c.f. On vertical face of rock, 330 m alt., Ohara, Ooto-mura, Fukui Prefecture, Japan",Macromitrium gymnostomum,T. Nakajima,"Mar. 27, 1971",Macromitrium gymnostomum,Japan,Fukui Prefecture,Nishimura-gun,"Ohara, Ooto-mura","On vertical face of rock, 330 m alt., Ohara, Ooto-mura, Fukui Prefecture, Japan","On vertical face of rock, 330 meters above sea level, Ohara, Ooto-mura, Fukui Prefecture, Japan",On vertical face of rock,330 m alt.,N/A,C0288544F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,T. Nakajima,T. Nakajima,A. Noguchi,1043492,"May 4, 1958",1958-05-04,1958-05-04,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,Ser. 15 (1959),Fagus crenulata,Japan,Nara Prefecture,,,"On trunks of Fagus crenulata, ca. 1200 m alt., Mt. Obaka, Nara Prefecture","On trunks of Fagus crenulata, 1200 meters altitude, Mt. Obaka, Nara Prefecture","On trunks of Fagus crenulata, 1200 meters altitude, Mt. Obaka, Nara Prefecture",ca. 1200 m alt.,,,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,N/A,N/A,N/A,1043491,s.d.,N/A,N/A,Musci Japonici,Macromitrium gymnostomum,A. Noguchi,1967-03-28,N/A,Japan,Wakayama,N/A,Shirohama-cho,"On rocks, ca. 100 m alt., Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture Coll. & det. T. Nakajima","On rocks, at an altitude of approximately 100 meters, Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture",N/A,100 m,N/A,C0288546F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,"Kiushiu, Miyazaki, Minaminaka, Sakatani, ad arborum truncos, ca 500 m.",Hattori S.,Kiushiu | Miyazaki | Minaminaka | Sakatani,1285078,Oct 1948,1948-10-01,N/A,Musci Japonici Ser. I (1947) det. A. Noguchi,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,Minaminka,Sakatani,"Japan, Miyazaki, Minaminaka, Sakatani, ad arborum truncos, ca 500 m.","Japan, Miyazaki, Minaminaka, Sakatani, ad arborum truncos, ca 500 m.",N/A,ca 500 m.,N/A,C22868481,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,R.P. J.B. Ferrie,R. P. Ferrie,J. B. Ferrie,1000415,20.4.1898,1898-04-20,1898-04-20,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Ile Liou-Kiou,N/A,Centre de l'ile,Japon : Ile Liou-Kiou - Centre de l'ile,Japan Ile Liou-Kiou Centre de l'ile,N/A,N/A,N/A,C026854F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,R.P. J.B. Ferrie Theriot,R. P. J. B. Ferrie,Theriot,1000416,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Sull. Card.,Macromitrium gymnostomum,N/A,N/A,N/A,Japan,N/A,N/A,N/A,Japan: Yaku-Sima,Japan: Yaku-Sima,N/A,N/A,N/A,C0288550E,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,s.n.,N/A,N/A,No. 1142151,9-3 - 1975,1975-09-03,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwägr.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,N/A,N/A,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden.","Papua New Guinea, Morobe District, Lae. In fork of Plumeria tree in garden.",N/A,Alt.c 20 m.,N/A,A. Town No. 14660,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,N/A,N/A,N/A,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Mull.,Macromitrium longicaule,D.H. Vitt,N/A,N/A,Papua New Guinea,Sepik Distr.,N/A,N/A,"Star Mts., c. 52'S 141'05'E Buslimin; wet forest on slope above Ok Din river, W of Buslimin; on trees along Ok Din River.","West Sepik District. Star Mountains, c. 52'S 141'05'E Buslimin; wet forest on slope above Ok Din River, west of Buslimin; on trees along Ok Din River.","wet forest on slope above Ok Din River, west of Buslimin; on trees along Ok Din River",Alt.: c. 1500 - 1550 m.,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,N°: 1142194,N/A,N/A,1142194,8.5. 1975,1975-05-08,N/A,Flora of New Guinea A. Town No. 17369 Macromitrium macrosporum Brot. Det.: D.H. Vitt.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik Dist.,N/A,N/A,c. 5° S 141° 05'E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub.,West Sepik Dist. c. 5° S 141° 05'E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub.,N/A,Alt.: c. 3900 m.,c. 5° S 141° 05'E,C0286558F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,A. Town No. 16376,A. Town,,1142178,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Brot. Det. D.H. Vitt.,Macromitrium macrosporum,D. H. Vitt,N/A,,New Guinea,West Sepik District,,,"Papua New Guinea, West Sepik Dist., Star Mts., c. 5' 5141'05E Mt. Capella Base Camp. Limestone ridge near camp; c. 4 - 5 m. high stunted forest on ridge.","Papua New Guinea, West Sepik District, Star Mts.",Limestone ridge near camp; c. 4 - 5 m. high stunted forest on ridge.,c. 4 - 5 m.,c. 5° 5141'05E,No.,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,s.coll.,N/A,N/A,17312,8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Brot.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Indonesia,Papua New Guinea,West Sepik,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., c. 5° 14'10""E NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree.","Papua New Guinea, West Sepik District, Star Mountains, 5° 14'10""E NE Summit of Mount Capella, Summit of ridge between Mount Capella Base Camp and Mount Capella ridge; on isolated tree",N/A,Alt.: c 3650 m.,N/A,1142156,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,D. H. Vitt,D. H. Vitt,N/A,16420,19. 4. 1975,1975-04-19,N/A,Macromitrium macrosporum Brot.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,"Star Mts., c. 5′ 141′ 05′ E",Mt. Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees.,"Star Mts., c. 5′ 141′ 05′ E",Mt. Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees.,3900 m.,N/A,No: 1142175,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,D.H. Vitt,D. H. Vitt,N/A,17205,5. 5. 1975,1975-05-05,N/A,Macromitrium macrosporum Brotn.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., 53° 54′ 00″ S 141° 03′ 00″ E near Mt. Sepik Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.","Papua New Guinea, West Sepik Distr., Star Mts., 53° 54′ 00″ S 141° 03′ 00″ E near Mt. Sepik Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.",N/A,Alt.: c. 3450 m.,53° 54′ 00″ S 141° 03′ 00″ E,1141880,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,Field Museum of Natural History,D. H. Vitt,N/A,1142187,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch. Det: D.H. Vitt,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr.,N/A,N/A,"Star Mts., c. 5'5 141'05E Upper montane forest between Folongolom and Artis' Camp. Pendulous from heavy tree branches and slanting trunks.","Star Mts., c. 5'5 141'05E Upper montane forest between Folongolom and Artis' Camp. Pendulous from heavy tree branches and slanting trunks.",Upper montane forest between Folongolom and Artis' Camp. Pendulous from heavy tree branches and slanting trunks.,Alt.: c. 2500 - 2600 m.,N/A,C0268863F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,A. Touw,A. Touw,,16555,21. 4. 1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D.H. Vitt,,,Papua New Guinea,Sepik,West Sepik,,"Papua New Guinea, West Sepik Distr., Star Mts., c. 5°51'19°S/141°5'E Small Kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni.","Papua New Guinea, West Sepik Distr., Star Mts., c. 5°51'19°S/141°5'E Small Kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni.",,Alt. c. 3400 m.,,No: 1142432,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,D.H. Vitt,D. H. Vitt,,1142300,7. 4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D.H. Vitt,,,Papua New Guinea,West Sepik Distr.,,,"c. 5 km N/NW of Tel Basin; Ridge above Camp 2, Terrestial in open shrubbery on ridge. Dense moss vegetation covering soil, rocks and the lower portion of shrubs. Dominant.","c. 5 km N/NW of Tel Basin; Ridge above Camp 2, Terrestial in open shrubbery on ridge. Dense moss vegetation covering soil, rocks and the lower portion of shrubs. Dominant.","c. 5 km N/NW of Tel Basin; Ridge above Camp 2, Terrestial in open shrubbery on ridge. Dense moss vegetation covering soil, rocks and the lower portion of shrubs. Dominant.",Alt. c. 3350 m.,,A. Town No. 15768,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,leg. S. Hattori,S. Hattori,,1228066,VIII. 1946,1946-08-00,1946-08-00,"Macromitrium incurvum (Lindb.) Par. KIUSHU, Miyazaki, Minaminaka, Obi, rupicola, photophilia, ca 50 m.",Macromitrium incurvum,A. Noguchi,OCT 1948,,Japan,Miyazaki,Minaminaka,Obi,"KIUSHU, Miyazaki, Minaminaka, Obi, rupicola, photophilia, ca 50 m.",Miyazaki Minaminaka Obi rupicola photophilia ca 50 m,,ca 50 m,,,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,Coll. K. Mayebara,K. Mayebara,N/A,1043529,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,N/A,N/A,N/A,"On exposed rocks, 60 m. above sea, Yoshio, Kumamoto Prefecture","On exposed rocks, 60 m. above sea, Yoshio, Kumamoto Prefecture",N/A,N/A,N/A,C0268560F,Typed,no type status
