associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,[precise locality unknown],N/A,1903-03-25,N/A,Typed,PASS,B 2734,PASS,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,PASS,1076699,PASS,N/A,N/A,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,PASS,Sydney,PASS,PASS,PASS,PASS,N/A,no type status,leg. M. Fleischer nr. B 2552,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-20,PASS,Typed,PASS,B 2697,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane
PASS,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,s.n.,PASS,PASS,no type status,PASS,PASS,"Mar. 27, 1971",PASS,PASS,PASS,PASS
N/A,PASS,Japan,Nara Prefecture,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1958-05-04,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,ca. 1200 m. alt.,"May 4, 1958",Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,T. Nakajima,Japan,PASS,N/A,A. Noguchi,PASS,PASS,N/A,1967-03-28,N/A,Typed,PASS,PASS,PASS,PASS,No type status,PASS,N/A,PASS,PASS,"March 28, 1967",PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1285078,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,s.d.,"Macromitrium gymnostomum Sull., et Lesq.",PASS
PASS,PASS,Japan,PASS,PASS,Thériot,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,PASS,PASS,1000415,s.n.,PASS,PASS,no type status,PASS,PASS,N/A,PASS,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,R. P. Ferrié,Japan,N/A,N/A,Thériot,PASS,PASS,PASS,PASS,N/A,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,PASS,Yaku-Sima
