Image,Title,Collected by,Scientific name,Associated Taxon,Date collected Verbatum,Formatted Date Collected,Country,First Political Unit,Second Political Unit,City,Detailed Locality,Elevation,Collection name,Collection Number,Latitude,Longitude,Additional Notes
C0020028F.jpg,Hepaticae of Eastern North America,R. M. Schuster,Anastrophyllum minutum (Cr.) Schust.,N/A,Aug. 17 1968,17 August 1968,Canada,Newfoundland,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,68-1666,N/A,N/A,N/A
C0020034F.jpg,Hepaticae of Eastern North America,R. M. Schuster,Anastrophylum minutum,Diplophyllum taxifolium,"August 17, 68",17/August/1968,Canada,Newfoundland and Labrador,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,68-1644,N/A,N/A,N/A
C0020052F.jpg,Museum Botanicum Hauniense,R. M. Schuster & K. Damsholt,Anastrophylum minutum,Cephalozia bicuspidata,July 3,03/July/1982,Greenland,South Greenland,N/A,N/A,Frederiksdal,N/A,N/A,82-1049,60°00'N,44°40'W,N/A
C0025138F.jpg,Hepaticae of the Nearctic,R. M. Schuster,"Frullania asagrayana Mont. male on per, Plagiochila tridenticulata Dum. (traces)",N/A,N/A,30/June/1951,United States,North Carolina,County N/A,Asheville,"Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",5220-5260 feet,N/A,9067,N/A,N/A,N/A
C0025161F.jpg,Frullania asagrayana Mont.,R. M. Schuster,Frullania asagrayana,N/A,N/A,N/A,United States,Minnesota,Cook County,N/A,"On dry, shaded, north facing high cliffs, 1.5 miles west of Pigeon Point",N/A,N/A,N/A,N/A,N/A,N/A
C0025164F.jpg,Hepaticae of Eastern North America,R. M. Schuster,Frullania asagrayana,N/A,N/A,N/A,United States of America,N/A,N/A,N/A,"Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,N/A,79-488,N/A,N/A,N/A
C0028185F.jpg,University of British Columbia Plants of British Columbia,"W.B. Schofield, G.A. Godfrey & T. Goward",Anastrophylum assimile (Mitt.) Steph.,N/A,"July 26, 1992",26/07/1992,Canada,British Columbia,N/A,N/A,"Range Lake, northeast of Tweedsmuir Glacier",1100 meters,ACC# B139065,98242,59 52'N,137 50'W,N/A
C0081541F.jpg,Frullania Asagrayana Mont.,A.J. Sharp,Frullania Asagrayana,N/A,24 July 1949,24/07/1949,United States of America,Tennessee,Carter County,Above Hampton,Bluff along Laurel Creek,N/A,The Field Museum,UT 4971 dupl.,N/A,N/A,Gift Of Alfred Clebsch
C2026363F.jpg,Herbarium Ed. Jeanpert,Jeanpert,Selix misandra,N/A,19/4/11,19/April/1911,France,N/A,N/A,Bois de Boulogne,Bois de Boulogne,N/A,Field Museum of Natural History,N/A,N/A,N/A,N/A
C2026366F.jpg,Cryptogamic Herbarium,Herbarium Ed. Jeanpert,N/A,N/A,N/A,13/August/1902,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,N/A,Pra Loup,Not Applicable,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C2026368F.jpg,Herbarium Ed. Jeanpert,Jeanpert,Scleria minutula,N/A,N/A,18/April/1896,France,N/A,N/A,N/A,Marly,N/A,The Field Museum,105917,N/A,N/A,N/A
C2026370F.jpg,In the Cryptogamic Herbarium,Unknown,N/A,N/A,N/A,03/July/1948,France,N/A,N/A,Cap Breton,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C2026372F.jpg,The Field Museum in the Cryptogamic Herbarium Field Museum of Natural History,Ed. Jeanpert,Tortula muralis (Hedw.) Schwagr.,N/A,Not legible on label,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Herbarier Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026374F.jpg,Herbarium Ed. Jeanpert,Ed. Jeanpert,Psilasia minuta,N/A,N/A,09/August/1898,France,Haute-Corse,N/A,L'Île-Rousse,"Haute-Corse, L'Île-Rousse",N/A,The Field Museum,N/A,N/A,N/A,N/A
C2026376F.jpg,Field Museum of Natural History Cryptogamic Herbarium,Ed. Jeanpert,Sophia minuta,N/A,12/5/94,5/December/1894,France,N/A,N/A,Aix-les-Bains,N/A,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026378F.jpg,Musci Galliae,"R. Potier de la Varde, B. Bonnier, Lamy, Navás, Thérèse Roumeguère",Gymnostomum confertum Schwägr,N/A,N/A,N/A,France,Orne,N/A,Alençon,"Dans les champs, Falaise (Butteau)",N/A,"Received by exchange from the Taylor Herbarium of Harvard University, March, 1941",167,N/A,N/A,N/A
