URL,Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,Habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
https://fm-digital-assets.fieldmuseum.org/276/684/C0000578F.jpg,C0000578F.jpg,Holotype Hepaticae of New Zealand Telaranea lindenbergii var papillata Engel & Merr,John J Engel,"Matt von Konrat, John E Braggins",(Division): Marchantiophyta,Lepidoziaceae,Telaranea,lindenbergii,papillata,Engel & Merr.,"John J Engel, Matt von Konrat, John E Braggins",N/A,N/A,N/A,"Blechnum novae-zelandiae, Weinmannia, Dicksonia squarrosa, Leptospermum scoparium",12 February 2003,2003-02-12,New Zealand,NZ,Auckland,N/A,N/A,"North Island, Auckland Prov.; Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut",N/A,Clay,20 meters,20,20,"38° 24.5' S, 174° 49.8' E",-38.40833,174.83000,CRYPTOGRAMIC HERBARIUM,23773,1173554,English,N/A,Typed,Holotype,N/A,N/A,N/A,"Supported by the National Geographic Society, The Field Museum",National Geographic Society,"The herbarium sheet includes one moderate-sized plant specimen mounted on the sheet, with signs of soil present","HOLOTYPE HEPATICAE OF NEW ZEALAND Telaranea lindenbergii var papillata Engel & Merr On clayey bank NORTH ISLAND, AUCKLAND PROV.; Whareorino Forest, start of track to Leitch's Hut 20 meters, 38° 24.5' S, 174° 49.8' E. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium John J Engel, Matt von Konrat & John E Braggins, No 23773 12 February 2003"
https://fm-digital-assets.fieldmuseum.org/444/531/C0020034F.jpg,C0020034F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,Marchantiophyta,N/A,Anastrophylum,minutum,N/A,N/A,R. M. Schuster,N/A,Diplophyllum taxifolium,N/A,Diplophyllum taxifolium with gemmae,Aug. 17 68,17-08-1968,Canada,CA,Newfoundland and Labrador,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A","Humber River, Squires Memorial Park, near Route 1A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68-1644,N/A,English,N/A,Typed,no type status,N/A,N/A,with gemmae,N/A,N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R. M. Schuster No. 68-1644 Aug. 17 68 Anastrophylum minutum + gemm. NEWFOUNDLAND: Along Humber R., in Squires Memorial Park, near Rte 1A. With: Diplophyllum taxifolium + gemmae 68-1644a"
https://fm-digital-assets.fieldmuseum.org/444/535/C0020052F.jpg,C0020052F.jpg,Museum Botanicum Hauniense,R. M. Schuster,K. Damsholt,Hepaticophyta,"unsure, check",Anastrophylum,minutum,grandis,(SCHREB.) SCHUST.,R. M. Schuster,1982,N/A,N/A,Cephalozia bicuspidata,July 3,03-07-1982,Greenland,GL,South Greenland,N/A,Frederiksdal,Frederiksdal,Frederiksdal,N/A,N/A,N/A,N/A,N/A,"60°00'N lat., 44°40'W long.",60.0000,-44.6667,S1,82-1049,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"Museum Botanicum Hauniense HEPATICAE OF SOUTH GREENLAND Collected and Determined by R. M. Schuster & K. Damsholt S1 No.82-1049 Anastrophylum minutum (SCHREB.)SCHUST. 1982 v.grandis (GOTT.)SCHUST. Frederiksdal 60°00'N lat., 44°40'W long. date: July 3. With: Cephalozia bicuspidata (L.) DUM."
https://fm-digital-assets.fieldmuseum.org/445/656/C0025138F.jpg,C0025138F.jpg,Hepaticae of the Nearctic,R. M. Schuster,N/A,Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,Mont.,N/A,N/A,Plagiochila tridenticulata Dum. (traces),N/A,Abies fraseri,June 30 1951,1951-06-30,United States of America,US,North Carolina,N/A,N/A,"Balsam Gap, North Carolina, ca. 25 miles north of Asheville, along Blue Ridge Parkway","Balsam Gap, Blue Ridge Parkway",N/A,On Abies fraseri,5220-5260 feet,1603 meters,1591 meters,N/A,N/A,N/A,N/A,9067,N/A,English,N/A,Typed,no type status,N/A,male,can per.,N/A,N/A,N/A,"HEPATICAE OF THE NEARCTIC Collected by R. M. Schuster No 9067 Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces) Balsam Gap, N.C., ca. 25 miles north of Asheville, along Blue Ridge Parkway, 5220-5260 feet on Abies fraseri Occurring with: "
https://fm-digital-assets.fieldmuseum.org/409/473/C0025164F.jpg,C0025164F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,N/A,R. M. Schuster,unsure and check,N/A,N/A,N/A,April 14 79,1979-04-14,United States of America,US,Arkansas,Stone County,N/A,"Ozark Natl. Forest. Barkshed Camp, ca. 10 miles East of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79-488,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R. M. Schuster No. 79-488 Frullania asagrayana ARKANSAS: Stone Co.: Ozark Natl. Forest. Barkshed Camp, ca. 10 miles East of Big Flat."
https://www.pteridoportal.org/imglib/fern/F/C0045/C0045536F_1586622756_web.jpg,C0045536F_1586622756_web.jpg,Flora of the United States of America,Thomas G. Lammers,N/A,(Division): Pteridophyta,Dryopteridaceae,Dryopteris,carthusiana,N/A,(Vill.) H.P. Fuchs,Thomas G. Lammers,9 May 1998,N/A,N/A,N/A,9 May 1998,1998-05-09,United States of America,US,Illinois,Cook,N/A,"Cook Co.: Palos Twp. Swallow Cliffs Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run.","Swallow Cliffs Woods Forest Preserve, Palos Township",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10674,2228497,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,The specimen appears to be a single plant specimen mounted on a sheet without visible soil; the sample size looks moderate.,"Nº 2228497 FIELD MUSEUM OF NATURAL HISTORY FLORA OF THE UNITED STATES OF AMERICA Field Museum of Natural History Dryopteris carthusiana (Vill.) H.P. Fuchs ILLINOIS: Cook Co.: Palos Twp. Swallow Cliffs Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run. Thomas G. Lammers 10674 9 May 1998"
https://fm-digital-assets.fieldmuseum.org/1086/214/C0644079F.jpg,C0644079F.jpg,Field Museum of Natural History,A. Monteagudo,"C. Mateo, G. Ortiz",(Division): Pteridophyta,Blechnaceae,Blechnum,occidentale,N/A,L.,H. van der Werff,2005,N/A,N/A,N/A,10 Abril 2003,2003-04-10,Peru,PE,Pasco,Oxapampa,N/A,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación ","Distrito Pozuzo, Parque Nacional Yanachaga Chemillen, Sector Pan de Azúcar, Zona de Recuperación",N/A,Terrestrial adpressed to rock,1100-1250m,1250,1100,10°15' S 75°13' W,-10.25,-75.21667,N/A,4909,2287355,Spanish and English,Label information is in both Spanish and English.,Typed,no type status,N/A,N/A,Brown sori,N/A,Missouri Botanical Garden Herbarium,The specimen seems to be a single mounted fern with multiple leaves. There is visible soil at the base where the roots are.,BLECHNACEAE Blechnum occidentale L. Det H van der Werff (MO) 2005 Pasco Oxapampa Distrito Pozuzo Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar Zona de Recuperación Bosque ribereño 1100-1250m 10°15' S 75°13' W Helecho terrestre adpreso a la roca soros marrones 10 Abril 2003 A Monteagudo C Mateo G Ortiz 4909 MISSOURI BOTANICAL GARDEN HERBARIUM (MO)
https://fm-digital-assets.fieldmuseum.org/2537/873/C2077559F.jpg,C2077559F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,(Division): Bryophyta,Hedwigiaceae,Hedwigia,ciliata,N/A,(Hedw.) P. Beauv.,Efraín De Luna,1992,N/A,N/A,N/A,8 December 1978,1978-12-08,Ecuador,EC,Azuay,N/A,N/A,"Area Nacional de Recreación ""Cajas"", forested hills of ""Surrocucho"", ""Laguna Llaviuco"", S of Sayausí","Nacional de Recreación ""Cajas""",N/A,Stone wall,3240 meters,3240,3240,N/A,N/A,N/A,N/A,78-3163,1065433,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,There are multiple Hedwigia ciliata moss specimens mounted on a sheet.,"N° 1065433 FIELD MUSEUM OF NATURAL HISTORY CRYPTOGRAMIC HERBARIUM Hedwigia ciliata (Hedw) P. Beauv. Det. Efraín De Luna, 1992 Duke University Herbarium BRYOPHYTA OF ECUADOR Hedwigia ciliata (Hedw.) P. Beauv. Stone wall. 3240 m. PROV. AZUAY: Area Nacional de Recreación ""Cajas"", forested hills of ""Surrocucho"", ""Laguna Llaviuco"", S of Sayausí, 255°S. Marko Lewis, no. 78-3163 8 December 1978"
https://fm-digital-assets.fieldmuseum.org/2535/382/C2079898F.jpg,C2077574F.jpg,Flora Surinamensis,J. Florschütz-de Waard,R. Zieleman,(Division): Bryophyta,Meteoriaceae,Pilotrichum,chlorophyllum,N/A,(Brid.) Mitt.,R. Zieleman,N/A,N/A,N/A,N/A,3-11-1981,1981-11-03,Suriname,SR,N/A,N/A,N/A,"area of Kabalebo Dam project, along Mickerie, line NW from road km 39,5, P. 51 SW quadrant, SE, Savanna forest, on rotting log","Kabalebo area, along Mickerie",N/A,on rotting log,0 - 50 m,50,0,N/A,N/A,N/A,Cryptogamic Herbarium,5254,1073529,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,There are multiple plant specimens mounted on a sheet,"FIELD MUSEUM OF NATURAL HISTORY CRYPTOGRAMIC HERBARIUM N° 1073529 FLORA SURINAMENSIS Herb. Acad. Reno.-Trai. Pilotrichum chlorophyllum (Brid.) Mitt. Hab: area of Kabalebo Dam project, along Mickerie, line NW from road km 39,5, P. 51 SW quadrant, SE, Savanna forest, on rotting log. Alt.: 0 - 50 m. Leg. J. Florschütz-de Waard & R. Zieleman d.d. 3-11-1981 No.: 5254 Det. R. Zieleman"
https://fm-digital-assets.fieldmuseum.org/227/835/V0075836F.jpg,C2077575F.jpg,Flora Surinamensis,J. Florence,"de Waard, R. Zeileman",(Division): Bryophyta,Meteoriaceae,Pilotrichella,chlorophyllina,N/A,(Hornsch.) W.R. Buck,R. Zieleman,03-10-1981,N/A,N/A,N/A,3-10-1981,03-10-1981,Suriname,SR,Nickerie,Nickerie ,N/A,"Ares of Kabalebo Dam Project, distr. Nickerie, line W from road 34 km, S15°W ca., 500 m., SE Rainforest, on rotting logs.",Ares of Kabalebo Dam Project,N/A,On rotting logs,0 - 50 m,50,0,N/A,N/A,N/A,Field Museum of Natural History Cryptogamic Herbarium,5098,1073528,Latin,"Parts of the label containing the scientific name and description use Latin terms, which is standard for botanical nomenclature.",Typed,no type status,N/A,N/A,N/A,N/A,N/A,"The plant specimen appears to contain multiple pieces of bryophytes, potentially moss, affixed to a sheet.","FIELD MUSEUM OF NATURAL HISTORY CRYPTOGAMIC HERBARIUM NO. 1073528 FLORA SURINAMENSIS Herb. Acad. Rheno. Trai. Pilotrichella chlorophyllina (Hornsch.) W.R. Buck Hab.: Ares of Kabalebo Dam Project, distr. Nickerie, line W from road 34 km, S 15°W ca., 500 meters, SE Rainforest, on rotting logs. Alt.: 0 - 50 meters. Leg.: J. Florence, de Waard & R. Zeileman Det.: R. Zeileman No.: 5098 3-10-1981"
